DataStructure,SampleSize,EnqueueTime,PtTime,DequeueTime
BinarySearchTreeRQ,5000,0.021948572,0.587647273,0.015618489
BinarySearchTreeRQ,5000,0.021669692,0.597755666,0.015597213
BinarySearchTreeRQ,5000,0.021852697,0.568279099,0.016385374
BinarySearchTreeRQ,5000,0.021924793,0.587926312,0.015583735
BinarySearchTreeRQ,5000,0.021832343,0.58545385,0.015248463
BinarySearchTreeRQ,5000,0.021701399,0.587796694,0.01522647
BinarySearchTreeRQ,5000,0.021425737,0.583749906,0.015685614
BinarySearchTreeRQ,5000,0.021607508,0.567053231,0.014896451
BinarySearchTreeRQ,5000,0.021726144,0.58436795,0.015801782
BinarySearchTreeRQ,7500,0.02615778,1.245201293,0.021014159
BinarySearchTreeRQ,7500,0.031305639,1.273332658,0.021264272
BinarySearchTreeRQ,7500,0.026484607,1.256961135,0.021252296
BinarySearchTreeRQ,7500,0.025409765,1.209189568,0.021066826
BinarySearchTreeRQ,7500,0.027459651,1.249722059,0.021387226
BinarySearchTreeRQ,7500,0.026524301,1.242852778,0.021268962
BinarySearchTreeRQ,7500,0.025766161,1.243209717,0.021228978
BinarySearchTreeRQ,7500,0.026363345,1.20846284,0.022223231
BinarySearchTreeRQ,7500,0.026353392,1.239575058,0.020378291
BinarySearchTreeRQ,7500,0.02597606,1.236736218,0.021671734
BinarySearchTreeRQ,9000,0.028408259,1.732920866,0.025623131
BinarySearchTreeRQ,9000,0.028717282,1.787280529,0.026010523
BinarySearchTreeRQ,9000,0.0285587,1.73133533,0.027689723
BinarySearchTreeRQ,9000,0.02802708,1.783880601,0.025911499
BinarySearchTreeRQ,9000,0.029088549,1.679969665,0.026030743
BinarySearchTreeRQ,9000,0.028990799,1.779947345,0.024711522
BinarySearchTreeRQ,9000,0.028049632,1.771847683,0.0261103
BinarySearchTreeRQ,9000,0.028183704,1.792614971,0.025201554
BinarySearchTreeRQ,9000,0.028621742,1.790010528,0.026279415
BinarySearchTreeRQ,9000,0.028783542,1.726868634,0.025557109
BinarySearchTreeRQ,10000,0.030107733,2.162069592,0.02857003
BinarySearchTreeRQ,10000,0.030801455,2.131969959,0.029434709
BinarySearchTreeRQ,10000,0.029489639,2.116067083,0.029621768
BinarySearchTreeRQ,10000,0.029509259,2.085701865,0.028059973
BinarySearchTreeRQ,10000,0.030691053,2.156625778,0.030216785
BinarySearchTreeRQ,10000,0.029762408,2.120546373,0.028934479
BinarySearchTreeRQ,10000,0.031955613,2.15134426,0.029933984
BinarySearchTreeRQ,10000,0.03009764,2.04274621,0.028197494
BinarySearchTreeRQ,10000,0.030511621,2.119121704,0.029725091
BinarySearchTreeRQ,10000,0.030319909,2.071939692,0.029325667
BinarySearchTreeRQ,15000,0.040805789,5.042282658,0.039958438
BinarySearchTreeRQ,15000,0.038816472,5.149497571,0.041818022
BinarySearchTreeRQ,15000,0.039187267,5.150954246,0.040065486
BinarySearchTreeRQ,15000,0.037807604,5.172354489,0.040221973
BinarySearchTreeRQ,15000,0.038090465,5.177157472,0.042132681
BinarySearchTreeRQ,15000,0.038384279,5.176769702,0.041126559
BinarySearchTreeRQ,15000,0.038145071,5.068035561,0.039572491
BinarySearchTreeRQ,15000,0.038633421,5.189307069,0.0431939
BinarySearchTreeRQ,15000,0.037738339,5.009840485,0.041878521
BinarySearchTreeRQ,15000,0.038249961,5.020876465,0.041232598
BinarySearchTreeRQ,20000,0.046059467,9.325430525,0.054128118
BinarySearchTreeRQ,20000,0.045336162,9.234582131,0.053200104
BinarySearchTreeRQ,20000,0.046737023,9.348279053,0.056040904
BinarySearchTreeRQ,20000,0.045927339,9.31851912,0.05322652
BinarySearchTreeRQ,20000,0.046004338,9.203619627,0.056196092
BinarySearchTreeRQ,20000,0.04534485,9.208740438,0.052539895
BinarySearchTreeRQ,20000,0.045898557,9.350054283,0.054512961
BinarySearchTreeRQ,20000,0.047585499,9.201888874,0.055547187
BinarySearchTreeRQ,20000,0.045873684,9.368489839,0.050634733
BinarySearchTreeRQ,20000,0.046816101,9.364846548,0.053075217
BinarySearchTreeRQ,30000,0.058982918,20.533500875,0.07263089
BinarySearchTreeRQ,30000,0.061638671,20.447434803,0.071137764
BinarySearchTreeRQ,30000,0.064860562,20.11565013,0.085911557
BinarySearchTreeRQ,30000,0.061363111,20.028668869,0.073299436
BinarySearchTreeRQ,30000,0.060246448,19.932700847,0.073186244
BinarySearchTreeRQ,30000,0.060668888,20.630935421,0.069417631
BinarySearchTreeRQ,30000,0.059360244,20.585461519,0.069986243
BinarySearchTreeRQ,30000,0.061172751,20.501464697,0.073249205
BinarySearchTreeRQ,30000,0.059233237,20.353858952,0.073021423
BinarySearchTreeRQ,30000,0.05954738,20.516691901,0.069811058
BinarySearchTreeRQ,50000,0.085141864,50.209425548,0.108683296
BinarySearchTreeRQ,50000,0.084492717,50.03482658,0.116741371
BinarySearchTreeRQ,50000,0.085137683,49.801868796,0.124156912
BinarySearchTreeRQ,50000,0.077350041,50.082443437,0.11181481
BinarySearchTreeRQ,50000,0.078388521,49.904568024,0.111483648
BinarySearchTreeRQ,50000,0.076643351,51.643329562,0.111062449
BinarySearchTreeRQ,50000,0.077257507,51.461770813,0.115703174
BinarySearchTreeRQ,50000,0.077331226,51.567942011,0.120300054
BinarySearchTreeRQ,50000,0.083125662,51.706150611,0.112509458
BinarySearchTreeRQ,50000,0.084591418,51.72641908,0.112409506
OrderedArrayRQ,500,0.008881686,0.026906996,0.005596081
